,,M_c,q,s1_z,s2_z,iota,d_L,t_c,psi,ra,dec,lambda_1,lambda_2,logL,logL_birth,nlive
labels,,$M_c$,$q$,$s_{1z}$,$s_{2z}$,$\iota$,$d_L$,$t_c$,$\psi$,$\alpha$,$\delta$,$\Lambda_1$,$\Lambda_2$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,,,,
0,0.0,1.3355575585260402,0.6613008108881078,0.009238927941261202,0.019275726849873775,2.9412807962537624,22.941193794343068,-2.380366614786407,1.7299994084165908,1.503683372830199,0.5619092713092191,2527.839607758292,4281.200495900472,-985.7918430430135,,500
1,3.8172232138878565e-145,1.7683865658978053,0.9762142478867427,0.0049573338336419415,0.004232480089845912,2.422628010231805,57.31713702002562,-7.259814275772967,0.9978750834164491,1.1471566793843349,0.5445831961404063,4741.259904689689,2226.84505430389,-332.64756130076523,,499
2,6.7403829683335764e-99,1.8401522028643331,0.4879773171123984,0.028386952173630922,0.04644893848041669,1.1571339197913644,25.442695291861753,-0.2525275453954414,2.6105281518887695,1.488947876919163,0.4665699465264122,4715.949483100461,4287.827815581046,-226.1600535304356,,498
3,5.17303303081758e-85,1.2960805278480445,0.7346908150864206,0.0037701588554321236,0.017457030686087754,0.7532789988517723,42.597214418566196,-6.178238781598255,0.22159504626139456,1.4259945745602476,0.4619421938833401,2777.2109843066537,3721.9668776957815,-194.1885197958211,,497
4,1.2355515486123927e-76,1.8839296730660677,0.8672043748942556,-0.0494575736851312,-0.04703018849177274,2.4467974678709234,55.42370871880056,-7.26845732394249,1.5806482009745166,1.6351872245979384,0.7214287088851442,4167.6042271424085,217.55444006826386,-174.89719566665866,,496
5,1.6821912401993332e-47,1.9326115703268045,0.4076703556058744,0.03990759127650727,-0.0285490408103789,0.27594539269530355,68.43012610838754,-2.89854393100494,1.309252151279275,1.5606355573933979,0.5347315344183893,137.01681426417034,2682.1387447687684,-107.81364818509805,,495
6,1.442177736037819e-43,1.94477456893236,0.14370266162068096,0.012055693450482761,0.01487143037161738,0.731967885796735,74.94221917348534,-8.583547889425114,2.4963659828668137,1.437709800108225,0.6376052007992468,980.5215278986457,1219.7965850779015,-98.75725077842498,,494
7,5.478365301712743e-41,1.6549762095297473,0.4718250594753943,0.022632362356359653,0.0020914544426328813,2.884811115904502,49.728905023096054,-6.973959229728244,1.9557135006651356,1.7063818615920765,0.5332688583059518,4089.248798670951,3499.429575496943,-92.81742812646677,,493
8,8.21969681076498e-32,1.7542134355216266,0.38648414793474634,0.012413403348634125,-0.003212034407490849,2.177976529003974,81.17751971169608,-5.103704136468221,0.29483143361233977,1.366563196309086,0.6360460954617021,4671.77698444693,931.9760269826638,-71.68843571931937,,492
9,1.687455430209721e-31,1.9305114732985853,0.9783031732862697,0.048520884718034715,-0.005445795916517969,0.6392306997460384,79.99721519607846,-1.4127490272803236,0.4183502334287719,1.6329250296018862,0.6378955889061368,1153.7086183834388,3614.5061406046652,-70.96916221868985,,491
10,9.39639165138489e-29,1.1015989397184667,0.47959322934742876,-0.022490675563024268,-0.0401766360440486,1.483045343698131,49.154542284126244,-5.0313204496927355,0.6785330465304175,1.3136213469175837,0.7472378322190425,536.0997155306935,2389.1264443918926,-64.64688801568367,,490
11,2.438592746112076e-24,1.2337281896882106,0.2810202674794703,-0.03761488910537689,-0.033829105924138486,1.656506083362188,21.19041358365687,-3.6576281067938865,2.518235896802956,1.8469750384478743,0.5872109848101326,4689.659887664908,3461.0622600886763,-54.48286716989171,,489
12,2.6985865200453584e-22,1.238190623993646,0.25104727130210247,-0.031729405983807114,0.012852270273448402,1.5598953285761485,28.05167381020262,-8.803515168222557,2.5332984027642937,1.5282326165628581,0.5095815726372684,1513.380767095791,2758.981959382086,-49.77638998859538,,488
13,1.3262560697002908e-21,1.9043940742190126,0.8690348551985785,0.04872582950895006,-0.006635771913163911,1.8010029185665195,78.8371677347825,-4.499139724177743,2.2149326339671895,1.4619159852353032,0.6583746019848015,3989.4486681186704,719.5538353269515,-48.18417303291362,,487
14,4.76743187452855e-16,1.8434247208364494,0.7448745678631883,-0.002608854452148604,0.02437542809169306,1.3412395375045114,84.53994922799198,-5.041201450700765,2.273220562182123,1.4022709794997597,0.5170993287326968,3648.426908079868,4249.646011389361,-35.39179978663578,,486
15,1.3171246993966863e-14,1.200532794293703,0.7562225266753602,-0.008929570533024275,0.03583174164634122,1.9552088664047662,32.82651793043608,-3.9556696695691818,2.0002408924271364,1.7366452206896545,0.6014608228393781,495.41630903957133,71.20405319826605,-32.0729862667686,,485
16,5.6773845443856914e-14,1.5925454604650942,0.8523413552375408,0.03953710862697357,-0.0018433756403305676,1.468459216831508,21.898011439380355,-9.616803516293075,1.517908400734119,1.5652206444771062,0.5453890728389604,4263.9439630282695,1892.7788028351001,-30.611946710331637,,484
17,8.138014188663461e-14,1.7863752966067556,0.15805866910460142,0.04622817057400504,-0.015620870190897355,2.556598528350275,140.09450517479584,-3.964131472966004,0.5621602930505393,1.4452496796932048,0.38173936990617535,3802.6578720092784,2349.1216485059863,-30.251891176393855,,483
18,7.816302331111283e-13,1.1728888367048362,0.275527070150045,0.040381739752475374,-0.03330514467952009,1.150346773837146,65.91529030634034,-4.279413385600844,2.7562748924972915,1.305988915075235,0.649368243102638,1786.2846485425166,910.9022380598309,-27.989640681439695,,482
19,8.737014767098639e-13,1.8637559369039993,0.4110472975051774,0.04513523358325311,0.0017014648695998988,0.299317872202046,196.86710000167812,-9.854251575762703,0.6513675139528804,1.3619020174965466,0.6377475637208123,3224.806853521671,3843.033266554766,-27.87828370499112,,481
20,1.541722354258314e-11,1.8831513713000942,0.9427770133642296,-0.009291463032066315,0.04651957659984517,0.6140130821024969,135.17535186736643,-1.0572189269567112,0.09466101786814102,1.5227055356138686,0.2758996343807877,1290.0484627601284,88.83925615062238,-25.007781887172097,,480
21,2.51075519089353e-11,1.9780595780745627,0.27074857186677215,0.04910383271833159,-0.024584693796986003,0.10813023506794811,118.5090359861104,-5.905607538233458,1.1303404031239932,1.7128314658535826,0.6147634349580614,4189.440351489247,3419.467709131385,-24.520098509740624,,479
22,4.710333273016316e-11,1.5003451956565697,0.9875457461282032,-0.036761776999787825,-0.045936683278875394,1.069093386745808,33.14584163842463,-7.909469389627635,0.18070704511336055,1.7711018621860015,0.47497747230422743,228.6750835977791,631.0173480352743,-23.890923426369852,,478
23,7.297389391377997e-11,1.6074202277605638,0.24025201812580066,0.021381511219153965,-0.049267846580206914,0.6894714056980965,116.85270992526179,-4.537219816235776,2.2250190309522857,1.5053490522507333,0.5792015415882112,3140.7117122789905,652.364198739378,-23.45316542392263,,477
24,1.2562855175869857e-10,1.7172002081922684,0.2920796178122137,-0.029508380275281222,0.01944861946580098,2.387865079419702,101.04728540400737,-1.6300623951984665,1.7078477447442797,1.598184265535419,0.5900562026259217,4894.548703949382,868.3018004092469,-22.90993763237143,,476
25,1.8433958897442608e-10,1.6404980844668935,0.9774466436378022,0.027295186269349375,0.02740837328318524,2.392147920209765,104.7273294072188,-9.729661061184993,0.5510103866157984,1.881948273963307,0.7015813394029005,2213.457078134541,3968.583168538965,-22.526487534642627,,475
26,2.8605480816352693e-10,1.6522305512164779,0.710499012816993,0.024285898331669678,0.04773680279909047,2.9290890684604394,283.71883624870446,-0.6485552607654625,3.1035181118030675,1.064699230284245,0.4975285844646957,2298.1490164770757,1164.091565901113,-22.087083754095893,,474
27,6.718118408290813e-08,1.6908761972970694,0.6078254595307024,0.029726205652092497,-0.025853961545251814,2.1434264567886494,186.05229857943394,-5.4006903260744155,1.9912259404120851,1.33013695857075,0.46789040570864565,757.2864722837047,2251.8534511663024,-16.628118694953113,,473
28,1.344907259201227e-07,1.580475653296666,0.3783696802606421,0.01399521476167273,0.032409003925089344,0.8587693081611832,104.60885739899028,-2.6717707038146727,0.29227483150764216,1.5600361332659665,0.5377134475508594,2973.5368358989476,3633.3595284701146,-15.934016660111189,,472
29,5.690697132308812e-07,1.5661665899979351,0.8970053578952027,0.025908328290264446,-0.01759132688956331,1.0875043994939697,146.77435431199106,-4.623824002445036,0.08262938393062028,1.359186449781582,0.5156348517978285,3855.428546976054,4294.124542330305,-14.491508959028305,,471
30,9.582381453447259e-07,1.564291921697828,0.4247250564249702,0.03974170380483162,-0.02824824782265256,1.291771947215584,113.81073666935171,-1.3707650727368126,0.7274338634910195,1.5156431407374464,0.7837911284488817,3451.6966625529844,204.82472751138124,-13.97041557147569,,470
31,1.0561836551508575e-06,1.0706285693561086,0.6053090702453209,-0.03507428700764197,0.01999926023315743,1.3836869060774442,50.82177254923501,-4.2857385637755785,2.278118464756536,1.7506680569996749,0.625644692765506,4204.0260691348985,348.50938076241624,-13.87309453950186,,469
32,1.4371601139975626e-06,1.2939560941939805,0.6686544079265286,-0.013929926523205884,0.03004635105233569,0.837336330149195,76.19588584742235,-2.507106862856787,0.3000817093968974,1.671064366838437,0.4072136965763564,3596.6284508288736,3799.5089974454268,-13.5650876022309,,468
33,1.6334075285909883e-06,1.1325165963141934,0.9008470480183933,-0.015177898429630576,-0.04325190994923598,2.025642551297255,21.931979114457345,-9.641881665070628,2.3571472268023697,1.7961441360693606,0.4395412224584331,4441.592805581285,1531.0827356557977,-13.43708828444216,,467
34,2.4818373024537353e-06,1.6065889946703606,0.9734613915146766,-0.029172461270802065,0.046515886567947654,0.7763009223953319,81.23552867870198,-8.97308270797669,0.9040183352987508,1.8668835647837443,0.5980960997920314,4448.019266640482,3610.577922576322,-13.018757491878628,,466
35,3.5723771828739007e-06,1.3903034376154526,0.14366908625636668,-0.033545955995973056,0.03551261032570355,1.7629326089352948,28.553904687983657,-2.394810883559659,1.4003181703974104,1.560718017327395,0.503119410641541,914.1688907840239,1157.7989264325195,-12.654525373777723,,465
36,4.9821712583219175e-06,1.0994713116072723,0.7272185302109091,-0.047812916317524295,0.03774100477151136,0.2870129082971576,91.23414481811002,-6.8827264625769,1.9975206270104986,1.954029319438146,0.592155227946246,4720.929986039152,1195.3188839501595,-12.321890833861845,,464
37,8.065835884876364e-06,1.243861079266597,0.7693838649037673,-0.026483124440335848,0.008346553990663974,0.9493938806246947,110.40789936640677,-3.23381872483467,0.9900317213829628,1.5786210950029844,0.5656477631483525,1973.2026369597734,2537.6739580658004,-11.84011927581428,,463
38,1.4954045656334492e-05,1.7425585322273558,0.14674040553454046,0.016418228298750975,-0.021182426557250136,1.82776057309148,53.52441678163888,-8.643045438327281,2.43627998507249,1.8004889870672904,0.5468612228844106,4505.830618477768,3399.5891707128512,-11.222774749835285,,462
39,1.8800317657829385e-05,1.755100501960147,0.9729928945138895,0.04024828482557537,-0.007093646161346334,0.15518432309075794,181.6168979421966,-6.983011166445259,1.400597043591516,1.6889570417966444,0.599076605797362,3369.4292293295202,1914.1780875851898,-10.993882859140655,,461
40,2.9170100420277417e-05,1.2065344135061953,0.8529305053634189,-0.03423825396741627,0.01610496887079052,2.347296533721639,103.39024135576481,-3.5192705740641443,2.279023919928873,1.9007276708104563,0.7015841898534132,3719.038328870103,2537.205783365931,-10.554612399065649,,460
41,3.279957736062866e-05,1.4138174373525636,0.2764405772762344,-0.007263514986582641,-0.01303585923877975,1.5720607763174914,82.40587384296269,-3.234607987856477,2.6962734293447603,1.6734557354850692,0.6814129756254174,4238.13801453704,2394.378776972249,-10.437340995566473,,459
42,5.476143968397142e-05,1.6402433478098788,0.7016968894490478,0.008163830935337499,-0.014369073388319012,2.2268833307723193,227.48419721974253,-9.805648007373584,0.8273102692900901,1.2165911987650642,0.49591245164174713,2118.0255537981106,4698.189003867707,-9.924770334656529,,458
43,9.267226016530762e-05,1.5114753671978893,0.4941997017503009,0.01767737728031482,-0.020485892597036884,0.3479180487819807,251.71010378075508,-1.760584555843609,0.7556746054923201,1.474194460461907,0.4868855007891986,2594.1478052394286,372.98116234142475,-9.398687440829878,,457
44,0.00018475906776467665,1.9758363941827801,0.25120179004604376,-0.037597021447892565,-0.010548707495405998,2.4030979116612095,202.0741139879241,-1.3273597910289254,2.333663920908654,1.4869356888360568,0.5196837805558029,1739.6186541541758,4680.748118979967,-8.708703985632754,,456
45,0.00021351218938757597,1.119726590004198,0.5202377529348369,0.02894847600091381,-0.04787798742708427,1.039781425390634,37.67412621182542,-2.4497831172516698,1.4430949735663468,1.8345650557045743,0.5304791722113947,2595.024696026884,731.0968923615768,-8.564062701337685,,455
46,0.00022921558669706838,1.9601840422519277,0.4185553433124307,0.045888266706943376,0.025488104889147836,2.018469114405786,107.57943626380862,-3.495674860548723,2.3242781307087927,1.5901735152222771,0.3699622457906694,2353.522702851154,4298.898723240044,-8.493093638211995,,454
47,0.00040472866359898276,1.520655557953665,0.5229978419169008,-0.020110515017920008,-0.04694464476229548,2.8067610030216126,219.5336881110989,-2.8358610818682912,0.9321886809271127,1.5528476729418015,0.5105424334309735,249.0195664634387,4682.255170673952,-7.924539749370399,,453
48,0.0005009228600576462,1.9349324635505063,0.5352264104928207,-0.012417141534406248,-0.04232640094783,0.11292350747596445,142.48424640180482,-0.09000703235621188,1.5528625397149267,1.7841667949600328,0.28400208964743784,4552.73789145553,3023.686679188784,-7.711304508237711,,452
49,0.0005222117708178454,1.5203530255160826,0.40619407895826987,-0.008864934685997937,-0.007934443458569286,2.950596488010219,360.98332014293914,-6.071073467082664,0.04185608127331079,1.3461297433508503,0.49224595575776575,2600.1107415475813,4985.791377039279,-7.669683428692719,,451
50,0.0005516498242570986,1.9140048553457532,0.5527058509758811,0.03432720685389397,-0.017975792001799197,0.236846203199534,273.99934202357224,-3.8826134754447184,0.20152673263543114,1.4773143360556849,0.5652676221857638,2339.7302489683725,2766.126026943221,-7.614843156897417,,450
51,0.0006045149348027791,1.302588259033775,0.4763508714878594,0.025864204566477048,0.035920382274216164,1.8035826439058154,76.49457019616756,-0.250706228625571,0.7337553490809438,1.6910238041724592,0.5467792183560178,3927.213757984491,938.8369245900329,-7.523330249734576,,449
52,0.0006181112873337416,1.4443201937372163,0.8514735533222969,0.04563546954878882,0.04857087895582561,2.4204722612880003,187.77875398616928,-1.5522631488214103,0.11840516934440619,1.593972695058133,0.743313962945422,3951.125648963043,3004.3819261108183,-7.501088107689217,,448
53,0.0006370573501344151,1.8215510306432505,0.5786789076287375,0.0016169485186499077,-0.035284476402289044,1.5861169469202847,140.2333746970295,-6.624580224000081,0.29582510100654846,1.5034377323746984,0.5015440441496997,1517.8839088647667,1337.3042094190369,-7.470896942399146,,447
54,0.0006537752626082523,1.9946210974732006,0.1877175948304586,0.00322327202930299,-0.006907886250932395,2.1670760004432035,263.38038114355345,-3.4445660499596826,0.2746493785156369,1.360594264772324,0.6314976429127084,2769.2287329400942,482.92742591096504,-7.444992968281356,,446
55,0.0007617797399317436,1.1885135393638688,0.26093000610613426,0.04910635864257873,0.0318004031182485,1.5262821972218164,51.29141874934164,-1.889301207246291,0.45413615995031886,1.7261627481219717,0.5885590934933989,2895.737910981995,2727.2595142660984,-7.292099166832422,,445
56,0.0009745636082507783,1.4264677888456734,0.13697223536404743,0.020707325060961512,-0.022056386806155716,0.9427138839107195,51.63595687045855,-0.028275838919014973,2.4181084746675854,1.7123496390442705,0.42603487548133806,4707.4628166547745,3742.008353212576,-7.04576683600467,,444
57,0.001242396613846337,1.3900844666710446,0.7983719059346776,-0.0150164124487564,0.0499012652331514,0.8776573546164587,236.51972098150918,-4.348386171721106,3.082363910248895,1.3995143153500937,0.41824774837649104,2756.1019528257657,444.0320244685569,-6.802959079190033,,443
