GRB,GPS,RA_rad,DEC_rad,detectors,logZ_Unconditioned_tran,logZ_Unconditioned_err_tran,logZ_Conditioned_tran,logZ_Conditioned_err_tran,delta_logZ_tran,delta_logZ_err_tran,Transient Unconditioned_MAP_M_c,Transient Unconditioned_MAP_q,Transient Unconditioned_MAP_s1_z,Transient Unconditioned_MAP_s2_z,Transient Unconditioned_MAP_iota,Transient Unconditioned_MAP_d_L,Transient Unconditioned_MAP_t_c,Transient Unconditioned_MAP_psi,Transient Unconditioned_MAP_ra,Transient Unconditioned_MAP_dec,Transient Unconditioned_MAP_lambda_1,Transient Unconditioned_MAP_lambda_2,Transient Conditioned_MAP_M_c,Transient Conditioned_MAP_q,Transient Conditioned_MAP_s1_z,Transient Conditioned_MAP_s2_z,Transient Conditioned_MAP_iota,Transient Conditioned_MAP_d_L,Transient Conditioned_MAP_t_c,Transient Conditioned_MAP_psi,Transient Conditioned_MAP_ra,Transient Conditioned_MAP_dec,Transient Conditioned_MAP_lambda_1,Transient Conditioned_MAP_lambda_2
GRB150922234,1126935466.0763843,5.137917705313427,-0.0957487627644089,"H1,L1",-0.1387038063752798,0.043737018247184,-0.2395259860139859,0.0472243012527611,-0.1008221796387061,0.0643666170772244,1.4604988779121513,0.1317745530343611,0.0381820706113124,-0.0118930902051854,1.546550386610392,656.9199243889661,-3.043122543707423,2.6909934314789536,1.2801254919585427,-0.02501358569882,2700.962064631699,1846.3083438116896,1.2691008780399555,0.1272377378775268,0.0150626950289328,0.0040637354684578,1.8105474861861703,607.2225904067234,-0.5301717098650363,0.4814925566510321,5.203983340097578,-0.0631553972888792,3001.3643317601104,944.481997703596
GRB151228129,1135307129.462317,3.7350744124379447,-0.3087312913852769,H1,-0.1093156634258084,0.0398840211507547,-0.1598076235440605,0.0528450046999086,-0.0504919601182521,0.0662067191823248,1.7660375813247065,0.2811640664134363,0.0386604570086288,0.0331268446520125,1.6950160151773543,656.8449618471201,-3.0395388862668824,2.801581391892237,4.6570843454239945,-0.2809090859167421,1394.529544807302,2274.812108432632,1.3695645343863636,0.6371915775094995,0.0492336193640522,-0.0266320517013518,1.8398483009160047,439.4413416949359,-9.016056988487083,0.0872308572682459,3.574227489628736,-0.2471215089924237,1646.4142728393738,4484.701791128091
GRB170127067,1169516165.7905855,5.922425750792359,-1.1159635237251744,"H1,L1",0.078880637788304,0.061131182622476,-0.124195835202748,0.0436519587723307,-0.2030764729910521,0.0751166758681704,1.6855521240144018,0.1799424857461245,0.0407059547894752,-0.0030209404754278,2.748102508377396,257.56299351339857,-5.402760528481184,0.6709367979557268,4.846545733114402,-1.1202158737731571,3453.856346528029,2500.1205157184872,1.5802808592513728,0.14044416354847,0.0261245084163726,0.0412064071341698,1.7653415017758065,281.28572783805834,-5.008523224306209,0.8287010872594787,5.948153003700095,-1.0771846572321708,3856.223867175527,3830.9322699517625
GRB170206453,1170413535.6959903,3.7138861153187337,0.2527236756887789,H1,-0.0844155869983758,0.0367192116422388,-0.2469538156287076,0.0467648795713198,-0.1625382286303317,0.0594580058944762,1.591155187170036,0.136028335010215,-0.0306524485617284,0.0085760051150569,2.0039882088960272,656.8864748891552,-5.8042903903517065,0.9710271609810176,4.466484700531197,-0.3892162682348142,213.83110986760173,3479.5293889313625,1.8561889330702843,0.1360193206393367,0.0487420157651776,-0.023606872633173,1.9345306306505297,147.56707561362384,-8.264770559722113,2.423419737748711,3.7210103504201593,0.2863429837289466,2926.774420276452,163.58363322997522
GRB170222209,1171774877.080291,5.113046763472508,0.4923748352801202,"H1,L1",0.2867800778624227,0.0767263462896084,0.1602561757669361,0.0590085511365742,-0.1265239020954866,0.0967932917210207,1.7056928502426938,0.1316603799157907,0.0296405766991623,-0.0110478469869041,2.3701812201918786,226.2171569540056,-8.512077474025656,2.501865642163408,6.044178109845099,-0.1573197795295445,3227.557189137952,466.3351583892731,1.9118864908131945,0.1711612696444935,-0.0492444101118175,0.0060710921055631,0.4658051887681083,104.29358841900726,-9.772585012320892,1.5863129566730767,5.159892870653012,0.4970967063526684,2524.8851820882896,4057.742916710176
GRB170325331,1174463836.0410526,2.224998090319932,0.358246282264356,"H1,L1",-0.0928606848899572,0.0677606917915052,-0.011808602115233,0.0640469774482345,0.0810520827747242,0.0932390833948834,1.9518250806572528,0.3425145240989019,0.0246204027098656,-0.041701426766598,0.5874339787993736,167.5115683355277,-0.9312435880216068,0.6709965855824089,4.530921114682819,-0.3737438136179468,1670.2173492411528,3957.9230220800337,1.876813040799924,0.3118448592191724,-0.0366811877471082,0.0140601259938567,1.312805424266521,101.46531991605592,-4.999626987006103,0.244787501928455,1.9305842961607989,0.4812275399969265,2122.7026760082526,62.77849070139297
GRB170403583,1175263175.7975454,4.526319428829575,0.3206693434689182,"H1,L1",8.204633051611493,0.2263264110473054,5.949097782119841,0.1956535496858996,-2.255535269491652,0.2991721174211371,1.309105238622599,0.1755437324609077,-0.0497480474098512,0.0271385227112875,2.4917130470313245,96.55261352985256,-5.553926090490728,2.139104555747222,3.773159984629313,0.5187565263615252,766.3401995789889,263.901937430578,1.1584199100887858,0.2898851041484075,-0.0060311981799754,0.0296369549271312,0.4876689144480611,206.369822773076,-2.546190970242377,2.170635126326575,4.7481838202652,0.331659469310531,3454.38347935091,2499.73054598926
GRB170708046,1183511189.255731,5.8614264934351565,0.3455402853098373,L1,0.1150323676610005,0.0541325585095522,0.108479220425597,0.0542549155942152,-0.0065531472354034,0.0766415667697727,1.022660709057344,0.1799884971520385,-0.0029927102264099,-0.0381699903935991,1.70621350056016,218.3897451382085,-2.1389950837464204,0.11855951570709,4.688397550498742,0.1425666173670636,3553.811789508521,3831.4492837032,1.3343290385144204,0.1272047807379232,0.0296543736121352,0.0251261731243875,1.4341140521708344,162.95070288073646,-9.169635322186686,3.0531963513467937,5.783551392297616,0.37295386200093,4861.055998895277,4635.56368639603
GRB170816599,1186928601.9549985,6.1233306009894255,0.2243271687588311,"H1,L1,V1",-0.0732211673238785,0.0514179557413054,-0.0811801180864811,0.0376314547247121,-0.0079589507626025,0.0637176000592685,1.7914242788815615,0.1316911333823834,0.0075394764980808,-0.0407013389331256,1.4638544304772154,367.1864671865825,-4.649271153669638,0.5605766246923347,1.5319232101240263,-0.2090499440325086,2147.927080764907,239.5286839103604,1.94204398427369,0.1448382498343614,-0.0306585058996525,0.0130368483226711,1.7833537041136842,113.20142954651833,-4.550541024985183,0.4969988532095515,6.146641851479068,0.1677774620304535,4786.206425071103,3203.2675577493383
GRB190427190,1240374873.0807068,4.890639456890871,0.7037516609891536,"L1,V1",-0.378358335599715,0.0499110575085395,-0.2996623079552069,0.0554878267090458,0.078696027644508,0.0746325168710921,1.1791361232474045,0.1403986976858597,0.0351718715323484,0.0306426977002455,1.6296231381163242,723.5896313371525,-2.03109110699484,2.4704266919315625,5.287968226124031,-0.0952396305143327,542.2543970748875,943.338129588146,1.926790929875393,0.1361182443622616,0.0386821762194887,0.017036199292544,1.7249138306742648,750.9741300622202,-4.549247891583136,0.9550631588286632,4.85399682981844,0.7006560181942454,4384.03233495604,1394.851534203211
GRB190515190,1241930001.1351683,2.403091487193433,0.51096259181386,L1,-0.2102867612261998,0.056777253226273,-0.2631288682225612,0.0506815629684723,-0.0528421069963614,0.0761070122186356,1.399716314349053,0.1272546491415093,-0.0150783105392266,0.0200865024400322,1.867724464487212,696.0968162210684,-4.645222906987735,1.7601676094741308,4.90965202887632,-0.1507947660072585,942.2744979612546,3831.8002741733294,1.917021073175098,0.1580556189429339,-0.0251223065172334,-0.0256156731375952,1.867571571630144,754.7593481688955,-0.6388607465601694,2.8484719812805004,2.395408386037337,0.5512838761663019,2123.396650656945,1872.6421288909603
GRB200219317,1266133027.095878,5.980161242448331,-1.0318386537790476,"H1,L1,V1",-0.2827744965878369,0.0575956687672776,-0.0573874102261694,0.1080959978832296,0.2253870863616675,0.1224826755876975,1.9572539584124,0.1359984394937725,-0.0180950366973953,-0.0291158964785684,1.67600032551545,598.2189959758206,-3.0902276268997104,1.75865766374009,3.7092040214325017,-0.6704930960111908,37.71981297465719,1470.390241656854,1.8718782083879468,0.3998117851064345,-0.0266179553546856,-0.0492424324458347,1.3211822717933543,547.2110500482992,-4.559460808409746,2.390237399885017,6.018628147104352,-0.9993346522849976,3175.6159654914254,2099.2982026825325
GRB231115650,1384097799.2013505,2.600558038764071,1.216147168118901,H1,-0.167687048957078,0.0559642508989014,-0.413660354503758,0.0944333900039971,-0.24597330554668,0.109770954839257,1.4094997375107423,0.1667574238381955,0.0220990931303648,0.0326104672621524,1.6946538798802535,688.3239767026078,-5.701081871700794,0.7179121733295677,5.035167784721509,-0.1795802820376024,2424.1232665475554,1044.8114461084378,1.178846630887772,0.2196385867039435,-0.0089615903152423,0.0075448056688267,0.5236962419234705,457.10204594101,-6.309466541265572,2.233438601101998,2.533644280077362,1.2519598218491972,3479.689502909528,2072.7624555233724
GRB240109168,1388808113.2090275,5.258991195524273,0.2893406833956199,H1,0.0598346256509154,0.0825658429031285,0.6513258741272248,0.0902782349764623,0.5914912484763093,0.1223408277100063,1.736270059750659,0.3557853101422988,-0.0040015988312987,-0.002008562208346,2.007622112093608,73.6112301921118,-4.8000897745291695,1.049836422566474,2.4146995412225323,-0.3559716164336686,3679.868805702723,4357.932240138491,1.1661393417170904,0.5844284948297666,0.0150749919755184,-0.0140882133440354,1.4772537790213915,92.73417877261572,-1.945277400378456,0.7185571579909042,5.04772579013639,0.2032545859646048,716.1473877155283,3228.55941716573
