,,M_c,q,s1_z,s2_z,iota,d_L,t_c,psi,ra,dec,lambda_1,lambda_2,logL,logL_birth,nlive
labels,,$M_c$,$q$,$s_{1z}$,$s_{2z}$,$\iota$,$d_L$,$t_c$,$\psi$,$\alpha$,$\delta$,$\Lambda_1$,$\Lambda_2$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,,,,
0,0.0,1.4998060704324208,0.5242262362846595,0.035811965072805624,-0.018103711929543166,0.7278678208013005,24.2620692293466,-7.735468759857027,1.0111176572480793,2.7736187185601526,1.0590111971108573,2334.350422805653,4019.1591969957494,-2160.2159275283625,,500
1,0.0,1.6157802147438758,0.7613713097230685,-0.027752130882680227,-0.03837434332229994,2.423626964622081,27.521044824567184,-1.9262169294636529,1.674551781747437,2.5388693431338387,1.0055948768474536,3147.6888629240675,1079.5541705459277,-1624.3800686184115,,499
2,0.0,1.121500492843636,0.9663896237891445,0.04647759861885355,-0.03623038604756057,0.6749370866707655,24.06701991360414,-9.972728592152563,1.4573507725281405,2.9292853226000224,1.0306896447201372,4116.559057404445,53.434136097350034,-1490.236465104468,,498
3,0.0,1.5653040739135737,0.9135628768687512,-0.010106049088344428,0.004917407164328133,2.573360348272572,38.72237726197444,-1.191597198239002,0.7170463081864905,2.8866076485389502,1.1513974976050863,2511.2566857864826,1752.659751811939,-1280.2440701267506,,497
4,0.0,1.770541124829654,0.25000392041402314,-0.02023669175799161,0.00939786526749311,0.057567781924246296,46.823184352995156,-6.024957825717038,3.0406047179196753,2.8143753743978075,0.9582500697052754,1342.1049678114994,3118.134555452906,-1094.3783014560263,,496
5,0.0,1.1511422391773378,0.6952985826862103,-0.033602493112134035,-0.020020927101241107,0.7345791375379281,29.228879392839918,-5.989659102099423,1.1308019227030845,2.8423411678426036,1.0175025720656932,1930.7048338959721,153.85562208142912,-1003.0570801193775,,495
6,0.0,1.3914312950543637,0.23265097518968236,0.016509420376971562,0.041855979943617186,2.3430680438926017,25.983375898836858,-3.396498679561839,2.0117574683545305,2.8310124971871957,0.8530896972406281,704.7154382637932,4139.883609134877,-996.6575632849044,,494
7,0.0,1.8654358681519956,0.49858481298363677,-0.005144848752718013,0.03833103462461428,2.3519167747637653,40.52420360327375,-8.618917944861852,2.7355311447628408,2.7139950526673617,1.0447653059231141,3523.1716192701933,2106.758609851528,-981.1383443890389,,493
8,0.0,1.973075492943719,0.3201910304037533,-0.02835996461674797,0.020548557769424547,1.5463453944829573,26.03596526100531,-3.8551861904768003,2.72149056038987,2.8967693637991556,0.8966531616834822,1674.098990393935,2844.9973254419992,-810.5924810564763,,492
9,2.44840587541803e-309,1.6430663600232667,0.3494811277067733,-0.015119736857366693,0.020283461896172916,2.7908186859827215,51.19412078185701,-6.527362442392035,2.100520704065465,2.935250480832541,0.9775958904299227,2906.6481329941894,3205.602512909185,-710.5209555370312,,491
10,6.294759194902666e-309,1.3973013005440276,0.22516704304588905,-0.048791063499912,-0.032095988761225464,2.8286107097748445,48.88790303604166,-9.051543584706739,0.693123438443374,2.9514236899730313,1.0765131118266473,3102.7900590708755,1613.8099364606505,-709.5766752733466,,490
11,2.500906542125802e-277,1.6187141085327388,0.8873241575820341,0.018998748289188308,-0.028074044679950717,0.9634059440246618,36.76714853562405,-9.107384620511842,2.708750582683542,2.360401260379103,1.1158629911712112,2653.0205306659136,1824.7634219307595,-636.8170164279157,,489
12,1.6653601288941946e-222,1.7000036321647087,0.7699553487801899,0.0231005550662923,0.018926636818401163,1.0574743239222117,42.61259575356106,-2.0621435852334464,0.9291280583432564,2.8006550686822447,1.038428304980177,3427.5918352871713,3451.074783175919,-510.5814482025637,,488
13,1.746764418746683e-212,1.82335777954654,0.5917998715250561,-0.014123630124534992,0.03604616363278068,0.9093664264057213,45.06535058838398,-2.1880649148838156,2.7635207822117978,2.6470383040157612,0.9110789324439376,3236.31218753637,2532.428163092977,-487.5078734932675,,487
14,2.5149098250080033e-197,1.6837852336835513,0.29662919482397215,0.008315841819112914,-0.024800060684681127,1.995239725662727,38.39063154139337,-3.384448873963226,2.5311913549388962,2.914580507858191,1.0142449967786358,4007.797055955066,227.64555654001816,-452.6046253233457,,486
15,5.83791770234566e-172,1.4799225948436212,0.8047052550978845,0.04730674210225509,0.013332869636885514,2.4284572236931936,53.382132214585184,-8.096423220527205,2.487294175583918,3.0406192209470464,0.9665448564914496,2269.0944873142216,2470.313119907348,-394.1978607710951,,485
16,4.3904400897373875e-145,1.7431119952186096,0.753786320030489,0.012225325317145999,-0.048897244039800405,0.5294878615096448,64.71997585680857,-4.436832580183148,1.547526375648129,2.896048723638379,0.8299356603293109,4364.222726066531,4634.807807219292,-332.3130079654023,,484
17,3.8594214354650867e-125,1.7558054118881947,0.6835277916684862,0.021776873465093494,-5.784352636708373e-05,1.3072666579988261,37.82802397509812,-2.49814363497239,1.6484077177731644,2.9143432241417995,0.9090951164232302,820.9944747026499,651.6860428239956,-286.3902182907584,,483
18,2.634837164939271e-123,1.8559628738519873,0.3672957371511719,-0.01346585670301366,0.02682599988747672,2.48977393566244,76.4006267794322,-6.481739911546553,0.424837624018446,2.7057513606923544,0.992083047713619,619.7720460740685,982.6913769615486,-282.1667440067308,,482
19,2.0190588620795576e-121,1.1546815565249995,0.5401481077074138,-0.03600122669712083,-0.022391778970229793,2.1038270954374787,35.188110831576864,-4.611198113659308,1.2289900518918582,2.7323725066168065,0.8368384208197024,4390.869266134495,3855.935090336898,-277.8277637108577,,481
20,2.6984742030928385e-117,1.8673903100432279,0.9024714453363484,0.04574598127042699,0.01274734134855518,0.4642352767505813,94.36571563008935,-8.116120699777422,0.2909852404345712,2.8463266793694757,1.04897052277518,548.2958693899942,851.0482051165458,-268.32736832855346,,480
21,6.272981302313551e-111,1.492432181738043,0.7802591715786719,-0.0125971789677237,0.023956361106323126,0.9591106404859786,47.23274179149683,-3.40476029256668,0.10635126697791392,2.2979860198682274,0.7979767274641398,3594.2967103349633,4947.718582976576,-253.66829254544987,,479
22,3.5579897195069986e-96,1.2667269939390957,0.38323976022367756,0.002713557769584485,0.008122109917627254,1.3609711145037933,33.80821906154337,-1.5304332533260236,1.1957863841557417,2.6371038583840436,0.9321355596821728,1946.5659088916398,83.69313124342526,-219.69657217915108,,478
23,3.0553945955727535e-94,1.4569790249520298,0.887989995754408,-0.004999095661060847,0.03271028128002225,0.7996268801689878,76.39052789369123,-2.5162488858921943,0.9738248689066966,2.9141059441399895,1.1725490105086758,4281.499189227419,770.3526364812385,-215.24368894486403,,477
24,4.2049187501664097e-85,1.8415456869942035,0.9097102197431949,0.041596849406248707,0.009276274777234847,0.9711531721597879,69.4443365023086,-9.980825897780992,2.3422100575277933,2.8848132699534426,0.9245541878770207,4645.849863253448,3424.476148804935,-194.2010768850115,,476
25,7.78844788891088e-85,1.9549977042872224,0.5772414392396868,0.012285329229443233,0.0076845683557827255,2.9851967272815223,114.57608363728187,-9.538096256603554,0.4654569232953406,3.0660167636698112,0.8672547203232452,523.3727390167264,3708.491209339788,-193.58469026006517,,475
26,5.1567832194989994e-76,1.0985887451738257,0.23488677363801555,-0.0411432619252875,-0.03550085639177552,0.5728650416229019,64.22262112351879,-7.207151222983857,0.309581810051372,2.69333479751623,0.9126645110730974,61.175874856950195,1330.9518168083966,-173.2737530410868,,474
27,2.1378997274886337e-64,1.4722914459315537,0.21305724575837395,-0.02411570475866305,0.027944810636141945,0.915208047360978,78.4464629053733,-3.066863509304458,1.36724192146401,2.746796737246875,1.1032971122519921,932.2415088259705,501.16786490046695,-146.52322099182152,,473
28,1.3705394076123685e-63,1.1276149502437915,0.18463709685746507,0.032119737572577675,-0.026960385795496068,2.8367841370130478,78.38388982195396,-1.5051534744988615,1.7628611343872658,2.4133880712479217,0.9789528828901246,847.8050146051486,1887.7059197917035,-144.6652554196512,,472
29,3.4223843335114415e-63,1.8865576775277535,0.7816936704045603,0.011845722302460768,0.018077158889921452,1.7318761081994474,58.262562294641555,-4.565449632557874,0.6994020409709536,2.680339429088212,0.9515656039724492,1632.3677158491678,1917.3635912228103,-143.75012232848155,,471
30,3.7664509912995726e-61,1.906786994939704,0.8767722442507478,0.04172201539520737,-0.038636853592886516,0.28952629395024604,125.46424323271036,-5.282121568062186,2.783962406975622,2.6010506442425316,0.8827772039399224,2383.852288853189,4033.7597854801797,-139.04915644773294,,470
31,6.052261235592762e-60,1.5939822862820192,0.9364822220148166,-0.04405198475205283,0.03518957884423486,1.8164667908408305,55.86053822309286,-7.610558383388453,1.0782767485135503,2.704809663350785,0.85655179400145,4088.1145609244795,4312.074695189728,-136.27227257104084,,469
32,2.5476398726000838e-54,1.7817597493105324,0.24490959066970308,-0.02963996341730122,-0.002872492848860972,2.206361085802037,88.08017122940788,-6.662382211543769,1.4117504768978997,3.0070043215504936,0.8375854786236112,2320.4205015514135,2879.1693749275137,-123.32202658280168,,468
33,2.9715003420605315e-53,1.6211597699886156,0.5697186309077024,-0.006802121060593344,-0.009772864698440145,0.7481797222316315,91.12605996594858,-1.4840796469530737,1.5354963795072352,2.8455762350782368,0.8568612547475842,2198.2771400325764,3730.9276412352733,-120.86554188930607,,467
34,1.881271931405212e-52,1.9129343631674176,0.9191772730642809,-0.0220092032647236,-0.03880601385832157,2.580505273734496,125.98151615645017,-2.17640714544417,1.220587762755104,2.7571364330409276,0.9812864803362817,3836.037188275846,3221.232079954217,-119.02007567991345,,466
35,6.217805052368495e-52,1.1605268758286569,0.6293681220536723,0.045642799197290376,-0.02348723057771145,1.9915664504109425,43.43819488760296,-6.738757488832832,0.2592122823648441,2.8896812324504313,0.8816896296662206,2023.5553137163931,4572.033019732143,-117.82460682824932,,465
36,1.1751247054034365e-49,1.8423377426594032,0.16462200392233753,-0.04297719151613606,0.01001680046136253,0.5687125403579129,110.87003049546786,-9.433394836356268,1.438771449660034,2.864430846422792,0.9894854319562503,4786.778714683232,1586.1768519394548,-112.5828942340455,,464
37,4.188425070550302e-44,1.3408861177057672,0.4422494065653864,-0.005664162462426535,-0.02975554849830746,2.345205402944671,86.49380108785996,-2.325675693600129,0.7600580559895016,2.962954915928353,0.9856079430098089,1522.7853093760014,3624.320407229823,-99.79901825817414,,463
38,1.3078583039189746e-39,1.783801701010117,0.26468266402308527,-0.01931789523587051,0.0017319939276346369,1.6120960997670397,59.124697610812404,-2.0144510268096827,0.015090283725588204,2.9961528946323654,0.9002925150713963,2406.8837689157062,1752.7376479009095,-89.45002666149809,,462
39,1.8182987096103401e-38,1.7869181035794812,0.7899334910581649,0.016396219918556,-0.003203247114512718,2.2593965537220297,120.27301070817921,-5.340199598770372,2.7292393558796,2.7454275622971354,1.0487125503602552,4046.3399587063464,3162.71407609266,-86.81793119635893,,461
40,5.4404374026769214e-36,1.9695072142752943,0.15613685019564535,0.02913859147277327,0.03203876633097609,1.5020865229601523,69.46221413090439,-4.763794223210649,1.4123438746314487,2.720688291179613,1.007044503331265,87.47602104354324,1822.6858254253498,-81.11680283680622,,460
41,2.451442197451506e-35,1.6634817369559425,0.426966309161001,0.03587213293264735,-0.023073173516726154,0.765149259955929,105.58940494848132,-5.567644648246695,0.16379118321819006,2.661797407410531,0.8628585511288602,4551.029003083493,4153.616975720052,-79.61140070296156,,459
42,2.477532642639858e-34,1.4207346615898546,0.8873126373544599,0.01817262333974587,-0.009289183161042505,0.5395002399667406,120.06131789642741,-6.372533487050703,1.2927110631557057,2.8545981492563155,1.0546108514741184,4632.536933004006,1559.07744426366,-77.29822895058564,,458
43,7.280601401061723e-34,1.9971984591511565,0.3919898787820737,0.01504845861402078,-0.04740796459611112,2.2165571430324946,109.82843098603266,-8.472032113468146,0.00837611341647073,2.860367361081092,0.8847530183982071,782.0894541724743,3167.2000514324404,-76.22027864452498,,457
44,4.981998006994019e-33,1.8029417346658478,0.9866096064664778,-0.047021705536217095,0.022695403236758935,2.5505445671923845,131.78931186982078,-8.36636928258254,1.63178649716863,2.749917420969731,0.8166594820338269,3163.333861667461,4198.482183403621,-74.29707600356491,,456
45,6.834552832416032e-31,1.9777524843154435,0.6001516237297003,-0.02313979103910393,5.6732626106836825e-05,0.211618972363941,188.55820045132148,-6.850076759549156,2.9590269672149208,3.179784923330274,0.8361752724004521,830.1544639796199,2496.3216579339633,-69.3757457895414,,455
46,1.1076277403532781e-30,1.5738330116246444,0.3688346948690139,0.03919693866574983,0.019752942626495518,2.2863906182086757,108.5659046659117,-1.8947684490235712,2.3478891812901823,2.7731455861265237,0.8855927576064578,555.1554002948833,592.7152533114577,-68.8929311839187,,454
47,3.295099565956562e-30,1.933649713145852,0.544436174262986,-0.03563951037165913,0.03771269645957172,0.5829145853225114,162.77790104417122,-0.5726087775773223,1.1077337281704642,2.6024274213506744,0.9912264847689001,2495.0492256185908,1295.2160142112557,-67.80271535659766,,453
48,9.622864694334801e-29,1.7999998990758765,0.5553098197937879,0.00754406684391222,-0.009155925698362585,1.0999055168282301,89.74186852718861,-8.972059211724615,0.09273675116193196,2.818860175084994,0.8852790866115522,3189.548585670843,86.48866250626442,-64.42842464276502,,452
49,8.887060862974393e-27,1.8133573017085736,0.9110917043169995,-0.00481167843398056,-0.020379167271918554,2.2725139192047936,123.68289880931027,-7.667044059759094,1.2691868046748367,2.7189873099622948,0.8533111788934322,4910.863768447967,2535.6643821553803,-59.902800079126365,,451
50,7.865347359757662e-26,1.5853485317262073,0.9156600543225009,-0.025458366023930302,-0.002936122972611324,2.3998920183855983,128.24934081558484,-8.454404125384112,1.030805236058851,2.7125932602942973,0.96051142042715,4892.3950092244395,1556.0643196789392,-57.722344668611726,,450
51,1.7914393375900814e-25,1.33139849282098,0.4808393855377493,-0.037173610084994806,0.02229176891473876,1.7366490270522945,49.27647890733274,-0.8683006876003851,1.0234261613114701,3.0567127444718936,0.7628790738072451,2976.6902173131148,2504.220663875284,-56.899206880460696,,449
52,3.8805252003751714e-25,1.2432881914687612,0.8796580731323738,0.014781628884066797,-0.014942767539272019,1.980796055900793,80.08572318187723,-1.134558242127362,1.2602692338448032,2.6491877200132414,1.0737364905995759,3339.3319601915473,242.95327835637372,-56.126255771014975,,448
53,9.547659764600378e-25,1.2720878438418353,0.8569146581903613,-0.0003533006177327963,-0.02984116731439439,0.14769774855944265,147.43789512378396,-8.34505227308374,1.3953210578108701,2.74370484329905,0.8972923692882881,3298.744521361291,1779.1108428437708,-55.22593020277555,,447
54,6.387969990066095e-24,1.8891249747517749,0.7069387606320682,0.0029797328293155873,-0.0314330591989779,2.290194314575397,141.84805839837398,-6.079492036817509,1.955922174351889,2.830985405407192,1.0611400115536198,4949.452598326409,2814.3182627071983,-53.32522465093602,,446
55,6.046554805152867e-23,1.4260522077348026,0.425343516982695,-0.0026850539003636237,0.03849024477497957,0.6321555466001614,120.22953959697092,-9.49128157825843,2.3174951689829095,2.783928733261348,0.8699170541930794,102.84342960075743,4010.189055539477,-51.07756743427435,,445
56,1.345753400079653e-22,1.2605438132994837,0.47096439340709956,0.03101771690594922,0.0296241252172101,2.0654184316019712,84.96536104464731,-9.440461176729746,1.6411154958272607,2.795333229339042,1.00785635392815,3792.6643205777787,4924.149181065079,-50.27751699244182,,444
57,1.7212638361436377e-22,1.8541428557655153,0.526956074202206,0.02019711246201364,-0.04434618009885123,1.742872731718579,100.89917820433067,-3.1087617678353947,2.5449081871790598,2.507546010166828,1.0905093646539146,3750.5901039168034,4059.007214545499,-50.031412187972876,,443
